"id","timestamp","aud_cad","eur_usd","aud_jpy","nzd_usd","aud_usd","usd_jpy","usd_cad","usd_chf","eur_gbp","eur_jpy","eur_cad","gbp_jpy","eur_aud","aud_chf","eur_chf","chf_jpy","eur_nzd","gbp_aud","cad_chf","usd_pln","eur_pln","usd_mxn","eur_mxn","gbp_chf","aud_nzd","cad_jpy"
17,"2024-06-17 06:27:04","0.90646252","1.06934716","103.73623568","0.61145437","0.65949488","157.29649900","1.37448000","0.89075500","0.84409988","168.20456504","1.46979629","199.27092708","1.62146394","0.58744836","0.95252633","176.58783728","1.74885847","1.92093848","0.64806691","4.09361000","4.37749024","18.49390300","19.77640272","1.12845216","1.07856760","114.44073322"
18,"2024-06-17 06:28:04","0.90645649","1.06947868","103.75001138","0.61146484","0.65950488","157.31500100","1.37445000","0.89079900","0.84411813","168.24504003","1.46994498","199.31456644","1.62163876","0.58748629","0.95269054","176.59988505","1.74904362","1.92110404","0.64811306","4.09335000","4.37775057","18.49174000","19.77652173","1.12862229","1.07856550","114.45669250"
19,"2024-06-17 06:29:04","0.90641364","1.06957591","103.76475566","0.61145437","0.65950010","157.33849900","1.37439500","0.89058500","0.84405583","168.28546874","1.47001979","199.37717671","1.62179796","0.58734090","0.95254826","176.66870540","1.74923258","1.92143445","0.64798329","4.09224800","4.37696989","18.49159900","19.77816889","1.12853703","1.07857614","114.47836976"
20,"2024-06-17 06:30:05","0.90652872","1.06954159","103.78181812","0.61145437","0.65960015","157.34050100","1.37436100","0.89054500","0.84392180","168.28221031","1.46993626","199.40498194","1.62149993","0.58740362","0.95247492","176.67888877","1.74917645","1.92138648","0.64797022","4.09273400","4.37734925","18.48779500","19.77346574","1.12862936","1.07873977","114.48265849"
21,"2024-06-17 06:31:04","0.90630148","1.06934716","103.76555388","0.61134597","0.65944008","157.35402900","1.37435000","0.89070400","0.84401433","168.26608459","1.46965727","199.36401404","1.62159867","0.58736592","0.95247180","176.66253772","1.74916858","1.92129282","0.64809110","4.09282200","4.37664760","18.49070100","19.77297867","1.12850193","1.07866922","114.49341798"
22,"2024-06-17 06:32:03","0.90626410","1.06974868","103.78777290","0.61136466","0.65942008","157.39249700","1.37433500","0.89087500","0.84429915","168.37041653","1.47019306","199.42033196","1.62225676","0.58746086","0.95301236","176.67180805","1.74977188","1.92142414","0.64822259","4.09184700","4.37724794","18.50259800","19.79312986","1.12876148","1.07860353","114.52265787"
23,"2024-06-17 06:33:04","0.90630751","1.06946153","103.79594266","0.61132728","0.65943008","157.40249900","1.37438000","0.89099500","0.84415807","168.33591680","1.46984653","199.41279186","1.62179670","0.58754890","0.95288487","176.65923939","1.74940912","1.92120026","0.64828868","4.09245800","4.37672638","18.50430400","19.78964120","1.12879911","1.07868583","114.52618563"
24,"2024-06-17 06:34:04","0.90665963","1.06946153","103.84701916","0.61133476","0.65969588","157.41650400","1.37436000","0.89106500","0.84416876","168.35089460","1.46982514","199.42800821","1.62114325","0.58783191","0.95295973","176.66107860","1.74938773","1.92040185","0.64834905","4.09229000","4.37654671","18.49739900","19.78225656","1.12887349","1.07910743","114.53804243"
25,"2024-06-17 06:35:03","0.90622115","1.06928656","103.79007385","0.61127497","0.65936964","157.40802600","1.37437500","0.89108500","0.84415897","168.31428684","1.46960072","199.38695564","1.62168000","0.58755440","0.95282522","176.64759928","1.74927262","1.92105997","0.64835653","4.09296000","4.37654712","18.49765000","19.77928856","1.12872723","1.07867928","114.53062374"
26,"2024-06-17 06:36:05","0.90624093","1.06945581","103.79870090","0.61126749","0.65943921","157.40450200","1.37426000","0.89116500","0.84421772","168.33715878","1.46971034","199.40017228","1.62176556","0.58766915","0.95306158","176.62778722","1.74957088","1.92102763","0.64846899","4.09227800","4.37651047","18.49573000","19.78036586","1.12892867","1.07880628","114.53764353"
27,"2024-06-17 06:37:04","0.90634260","1.06952444","103.81269377","0.61127497","0.65949879","157.41149900","1.37429000","0.89120500","0.84432537","168.35544468","1.46983674","199.39640631","1.62172311","0.58774862","0.95316552","176.62771080","1.74966176","1.92073242","0.64848394","4.09159300","4.37605870","18.49760400","19.78363948","1.12890783","1.07889056","114.54023459"
28,"2024-06-17 06:38:04","0.90617665","1.06947296","103.79546246","0.61117410","0.65933486","157.42450200","1.37438000","0.89125500","0.84434784","168.36124872","1.46986225","199.39797517","1.62204825","0.58763549","0.95317313","176.63239140","1.74986632","1.92106640","0.64847786","4.09229300","4.37659672","18.49899500","19.78417501","1.12888680","1.07880041","114.54219503"
29,"2024-06-17 06:39:04","0.90618052","1.06947296","103.80749380","0.61115542","0.65934008","157.44150400","1.37437500","0.89124500","0.84425265","168.37943190","1.46985690","199.44199339","1.62203542","0.58763355","0.95316243","176.65344995","1.74991979","1.92126778","0.64847294","4.09118300","4.37540961","18.49250200","19.77723092","1.12900141","1.07884191","114.55498245"
